Iteration	AverageCost	StdCost	MinimumCost	MaximumCost	AverageReturn	StdReturn	MinimumReturn	MaximumReturn
0	-3911.4517749400397	191.98635846977095	-4103.438133409811	-3719.465416470269	123.6864693449311	18.496419551031536	105.19004979389956	142.18288889596263
1	-4160.804646277042	329.88625845458705	-4490.6909047316285	-3830.9183878224544	125.97786441616108	25.12441886057269	100.8534455555884	151.10228327673377
2	-4297.855360624275	253.3181085669446	-4551.17346919122	-4044.5372520573305	159.9066907270635	19.9234803549884	139.98321037207512	179.83017108205192
3	-4733.699641425172	66.40336552590679	-4800.103006951079	-4667.296275899265	216.1811466530629	5.575683608052103	210.60546304501082	221.75683026111503
4	-4438.42288814267	6.928126657193843	-4445.351014799863	-4431.4947614854755	184.9168679393918	5.800431112218476	179.11643682717332	190.71729905161027
5	-3961.1317862270434	271.1383054396026	-4232.270091666646	-3689.993480787441	159.18175091944462	25.303739047555155	133.87801187188947	184.48548996699978
6	-4500.31230279191	26.55092934567756	-4526.863232137587	-4473.761373446232	193.60473990970434	0.9398313574210704	192.66490855228326	194.5445712671254
7	-4235.067612972513	215.99894884395962	-4451.066561816473	-4019.068664128554	166.90695706913698	13.26480806087443	153.64214900826255	180.1717651300114
8	-4309.3254010499095	186.1790398728067	-4495.504440922717	-4123.146361177103	168.25876287313787	12.539731473031269	155.7190314001066	180.79849434616912
9	-3764.1346313207655	134.08981951249598	-3898.2244508332615	-3630.0448118082695	121.50778556640634	6.210288883242718	115.29749668316362	127.71807444964905
