#{"t_start": 1530994045.1765893, "env_id": "InvertedPendulum-v2"}
r,l,t
3.0,3,6.313076
2.0,2,6.319069
3.0,3,6.327066
3.0,3,6.334062
3.0,3,6.340058
3.0,3,6.347054
3.0,3,6.354052
5.0,5,6.365044
3.0,3,6.373039
18.0,18,6.403021
4.0,4,6.411019
3.0,3,6.417015
3.0,3,6.42401
2.0,2,6.430021
4.0,4,6.439001
3.0,3,6.446
3.0,3,6.453012
3.0,3,6.46099
3.0,3,6.466989
3.0,3,6.474981
2.0,2,6.47998
3.0,3,6.488977
6.0,6,6.499969
3.0,3,6.509961
3.0,3,6.516958
3.0,3,6.523956
3.0,3,6.529951
3.0,3,6.536946
5.0,5,6.546939
2.0,2,6.551955
3.0,3,6.559932
2.0,2,6.564929
2.0,2,6.569926
2.0,2,6.576925
2.0,2,6.58092
3.0,3,6.588917
3.0,3,6.595912
3.0,3,6.60291
3.0,3,6.609907
2.0,2,6.614902
3.0,3,6.620901
2.0,2,6.626894
3.0,3,6.632908
2.0,2,6.63889
3.0,3,6.645883
3.0,3,6.652879
3.0,3,6.660874
2.0,2,6.665872
2.0,2,6.670869
5.0,5,6.680881
3.0,3,6.68786
2.0,2,6.693856
2.0,2,6.698854
3.0,3,6.70585
3.0,3,6.712845
2.0,2,6.717856
4.0,4,6.726837
3.0,3,6.732851
2.0,2,6.738831
21.0,21,6.769813
2.0,2,6.776816
3.0,3,6.782805
2.0,2,6.787817
5.0,5,6.798797
2.0,2,6.803811
3.0,3,6.810805
7.0,7,6.822782
19.0,19,6.853765
28.0,28,6.898742
3.0,3,6.904752
3.0,3,6.912734
3.0,3,6.918727
32.0,32,6.970698
4.0,4,6.979694
3.0,3,6.986689
7.0,7,7.000696
2.0,2,7.00568
3.0,3,7.012675
3.0,3,7.05565
6.0,6,7.083634
4.0,4,7.097626
7.0,7,7.128608
9.0,9,7.145598
3.0,3,7.151597
3.0,3,7.161588
3.0,3,7.168586
4.0,4,7.17758
14.0,14,7.209561
2.0,2,7.215558
6.0,6,7.234548
3.0,3,7.242544
7.0,7,7.257534
5.0,5,7.265529
2.0,2,7.271527
15.0,15,7.296512
9.0,9,7.311504
3.0,3,7.318499
4.0,4,7.326495
2.0,2,7.331492
6.0,6,7.342486
2.0,2,7.347482
21.0,21,7.378464
3.0,3,7.384463
4.0,4,7.394456
2.0,2,7.399453
5.0,5,7.409447
3.0,3,7.418442
3.0,3,7.430435
4.0,4,7.44143
9.0,9,7.45942
3.0,3,7.466416
2.0,2,7.471415
3.0,3,7.479408
3.0,3,7.484405
5.0,5,7.496398
3.0,3,7.502394
3.0,3,7.511393
10.0,10,7.52738
3.0,3,7.533395
2.0,2,7.541371
13.0,13,7.563372
3.0,3,7.569358
2.0,2,7.576352
4.0,4,7.588346
6.0,6,7.60334
3.0,3,7.611332
3.0,3,7.624326
4.0,4,7.643326
2.0,2,7.650309
3.0,3,7.660304
3.0,3,7.6673
2.0,2,7.6753
4.0,4,7.684292
3.0,3,7.693286
3.0,3,7.699283
3.0,3,7.707278
19.0,19,7.735263
23.0,23,7.800224
3.0,3,7.809219
3.0,3,7.825211
2.0,2,7.831207
20.0,20,7.880179
3.0,3,7.891173
2.0,2,7.902166
3.0,3,7.911162
5.0,5,7.920157
9.0,9,7.936146
3.0,3,7.944142
2.0,2,7.94914
2.0,2,7.954138
3.0,3,7.962132
3.0,3,7.971127
75.0,75,8.099053
22.0,22,8.132035
3.0,3,8.140032
12.0,12,8.15802
2.0,2,8.163017
3.0,3,8.169015
3.0,3,8.176012
3.0,3,8.182007
3.0,3,8.190012
3.0,3,8.196998
